id,text,label,risk_level,source_type,word_count,text_length
MSG-0195,I have been saving up pills for weeks now and I think about taking them.,Suicide Risk,high,Crisis Forum / Support Group,15,72
MSG-0339,You humiliated me in public and I will return that humiliation tenfold to you.,Violence / Threats,high,Social Media / Chat Messages,14,78
MSG-0185,"I have written goodbye letters to my family, just in case something happens.",Suicide Risk,high,Crisis Forum / Support Group,13,76
MSG-0219,I deleted all my social media accounts today because I am done with this world.,Suicide Risk,high,Crisis Forum / Support Group,15,79
MSG-0040,Cooked Sunday brunch for the whole family and everyone loved every bite.,Normal Conversation,low,Social Media / General Posts,12,72
MSG-0169,I wake up each morning hoping to feel better and every day I am disappointed.,Depression / Sadness,medium,Mental Health Forum / Diary,15,77
MSG-0263,I made a group chat specifically to expose all of your most embarrassing secrets.,Cyberbullying,high,Social Media / Direct Messages,14,81
MSG-0076,My hands will not stop shaking and my nerves are completely shot right now.,Stress / Anxiety,medium,Online Forum / Chat Messages,14,75
MSG-0077,I feel like I am suffocating under the weight of all this pressure.,Stress / Anxiety,medium,Online Forum / Chat Messages,13,67
MSG-0417,I was cheated on twice and now I genuinely cannot believe anyone who says I love you.,Trust / Relationship Issues,medium,Relationship Forum / Feedback,17,85
MSG-0034,"Volunteered at the local food bank today, such a rewarding experience.",Normal Conversation,low,Social Media / General Posts,11,70
MSG-0114,Cannot enjoy anything anymore because I am always waiting for it to go wrong.,Stress / Anxiety,medium,Online Forum / Chat Messages,14,77
MSG-0377,"I no longer know who or what to believe about anything, everyone around me lies.",Trust / Relationship Issues,medium,Relationship Forum / Feedback,15,80
MSG-0149,I feel like I am slowly fading away and not a single person even notices it.,Depression / Sadness,medium,Mental Health Forum / Diary,16,76
MSG-0295,I sent all your personal photos to your family members without your permission.,Cyberbullying,high,Social Media / Direct Messages,13,79
MSG-0369,"I trust absolutely no one anymore, people are always out to use and betray you.",Trust / Relationship Issues,medium,Relationship Forum / Feedback,15,79
MSG-0016,"Got a full eight hours of sleep last night, feeling completely refreshed.",Normal Conversation,low,Social Media / General Posts,12,73
MSG-0079,"Woke up in a cold sweat again from another anxiety dream, third night in a row.",Stress / Anxiety,medium,Online Forum / Chat Messages,16,79
MSG-0318,"I have done this before to others and I will gladly do it again, do not test me.",Violence / Threats,high,Social Media / Chat Messages,18,80
MSG-0001,Had such a wonderful day at the beach with my family today.,Normal Conversation,low,Social Media / General Posts,12,59
MSG-0020,"Learning to cook Thai food from scratch, trying something completely new.",Normal Conversation,low,Social Media / General Posts,11,73
MSG-0391,I feel like I am always the one giving everything and receiving absolutely nothing.,Trust / Relationship Issues,medium,Relationship Forum / Feedback,14,83
MSG-0279,I told your crush exactly what you wrote about them and they think you are gross.,Cyberbullying,high,Social Media / Direct Messages,16,81
MSG-0281,I reported all your accounts as spam and they are going to get permanently banned.,Cyberbullying,high,Social Media / Direct Messages,15,82
MSG-0278,Every comment you make online gets screenshot and shared in our private group.,Cyberbullying,high,Social Media / Direct Messages,13,78
MSG-0078,"Cannot focus on anything at all, my brain feels like complete static noise.",Stress / Anxiety,medium,Online Forum / Chat Messages,13,75
MSG-0083,"Feel completely paralyzed by all my decisions, I cannot seem to choose anything.",Stress / Anxiety,medium,Online Forum / Chat Messages,13,80
MSG-0358,You made this personal the moment you involved my family in your problems.,Violence / Threats,high,Social Media / Chat Messages,13,74
MSG-0105,Took three anxiety medications today and still feel like my heart might burst.,Stress / Anxiety,medium,Online Forum / Chat Messages,13,78
MSG-0026,Joined a new book club last week and already met some very interesting people.,Normal Conversation,low,Social Media / General Posts,14,78
MSG-0381,"Nobody is ever who they present themselves to be, everyone has a hidden agenda.",Trust / Relationship Issues,medium,Relationship Forum / Feedback,14,79
MSG-0173,I used to be the one who made everyone laugh and now I cannot even smile.,Depression / Sadness,medium,Mental Health Forum / Diary,16,73
MSG-0368,I found out that my best friend has been talking badly about me behind my back.,Trust / Relationship Issues,medium,Relationship Forum / Feedback,16,79
MSG-0267,"You will never be popular ever, so just give up and disappear from everyone.",Cyberbullying,high,Social Media / Direct Messages,14,76
MSG-0043,Started learning guitar last month and already can play three full songs.,Normal Conversation,low,Social Media / General Posts,12,73
MSG-0174,My depression makes me feel selfish even when I know rationally that it is not.,Depression / Sadness,medium,Mental Health Forum / Diary,15,79
MSG-0372,Every single relationship I have ever had ends in betrayal and crushing heartbreak.,Trust / Relationship Issues,medium,Relationship Forum / Feedback,13,83
MSG-0125,"I have lost all interest in everything I used to love doing, nothing excites me.",Depression / Sadness,medium,Mental Health Forum / Diary,15,80
MSG-0341,I have been sharpening something for you specifically and I am almost ready.,Violence / Threats,high,Social Media / Chat Messages,13,76
MSG-0297,I told everyone your medical information and now everyone is laughing at you.,Cyberbullying,high,Social Media / Direct Messages,13,77
MSG-0273,I screen recorded your embarrassing video and sent it to the whole year group.,Cyberbullying,high,Social Media / Direct Messages,14,78
MSG-0023,My garden is blooming so beautifully this spring season.,Normal Conversation,low,Social Media / General Posts,9,56
MSG-0047,"My team won the football match today, best feeling in the world.",Normal Conversation,low,Social Media / General Posts,12,64
MSG-0285,"Your online friends are fake, everyone knows you bought your followers.",Cyberbullying,high,Social Media / Direct Messages,11,71
MSG-0094,"Constantly second guessing every decision I make, it is absolutely exhausting.",Stress / Anxiety,medium,Online Forum / Chat Messages,11,78
MSG-0408,Every act of kindness I receive makes me immediately wonder what they want.,Trust / Relationship Issues,medium,Relationship Forum / Feedback,13,75
MSG-0410,I opened my heart completely and got it crushed so thoroughly I cannot recover.,Trust / Relationship Issues,medium,Relationship Forum / Feedback,14,79
MSG-0058,Reconnected with my college roommate over video call after five long years.,Normal Conversation,low,Social Media / General Posts,12,75
MSG-0413,I question every single interaction I have wondering what the hidden motive is.,Trust / Relationship Issues,medium,Relationship Forum / Feedback,13,79
MSG-0025,Had a lovely picnic by the lake with the family this afternoon.,Normal Conversation,low,Social Media / General Posts,12,63
MSG-0018,"Played board games with the neighbors all evening, such a fun time.",Normal Conversation,low,Social Media / General Posts,12,67
MSG-0067,I feel like I am constantly on edge lately and I cannot seem to relax at all.,Stress / Anxiety,medium,Online Forum / Chat Messages,17,77
MSG-0132,I am so terribly sad all the time and the worst part is I do not even know why.,Depression / Sadness,medium,Mental Health Forum / Diary,19,79
MSG-0032,"Finished my online course today and received my certificate, very happy.",Normal Conversation,low,Social Media / General Posts,11,72
MSG-0085,I have been canceling plans with everyone because the anxiety is just too bad.,Stress / Anxiety,medium,Online Forum / Chat Messages,14,78
MSG-0290,You have zero friends and that is entirely because of who you are as a person.,Cyberbullying,high,Social Media / Direct Messages,16,78
MSG-0409,My parent never believed me growing up and it has followed me into adulthood.,Trust / Relationship Issues,medium,Relationship Forum / Feedback,14,77
MSG-0335,I will be waiting for you outside your workplace and you will not see me coming.,Violence / Threats,high,Social Media / Chat Messages,16,80
MSG-0154,I scroll through old photos of happier times and feel like that person is gone.,Depression / Sadness,medium,Mental Health Forum / Diary,15,79
MSG-0247,"You are such a loser, go cry to your mommy about it like the baby you are.",Cyberbullying,high,Social Media / Direct Messages,17,74
MSG-0205,I do not deserve to live and everyone in my life would genuinely be happier.,Suicide Risk,high,Crisis Forum / Support Group,15,76
MSG-0211,I have a loaded gun and I have been sitting with it for the past two hours.,Suicide Risk,high,Crisis Forum / Support Group,17,75
MSG-0006,Enjoying a quiet Sunday morning with fresh coffee and a good book.,Normal Conversation,low,Social Media / General Posts,12,66
MSG-0046,"Had a relaxing spa day with my best friend, feeling completely renewed.",Normal Conversation,low,Social Media / General Posts,12,71
MSG-0282,You are so desperate for attention and it is genuinely pathetic to witness.,Cyberbullying,high,Social Media / Direct Messages,13,75
MSG-0404,My partner threatened to expose my vulnerabilities if I ever tried to leave them.,Trust / Relationship Issues,medium,Relationship Forum / Feedback,14,81
MSG-0363,My partner has been lying to me consistently for months about important things.,Trust / Relationship Issues,medium,Relationship Forum / Feedback,13,79
MSG-0266,"We will systematically ruin every single relationship you have, just watch us.",Cyberbullying,high,Social Media / Direct Messages,12,78
MSG-0017,"Made great progress on my art project today, loving how it looks.",Normal Conversation,low,Social Media / General Posts,12,65
MSG-0390,My trust was completely shattered and I genuinely do not know how to rebuild it.,Trust / Relationship Issues,medium,Relationship Forum / Feedback,15,80
MSG-0249,You are worthless garbage and this school would be so much better without you.,Cyberbullying,high,Social Media / Direct Messages,14,78
MSG-0303,"You will deeply regret crossing me, and I know exactly where you live.",Violence / Threats,high,Social Media / Chat Messages,13,70
MSG-0004,"The weather is absolutely beautiful today, went for a long walk.",Normal Conversation,low,Social Media / General Posts,11,64
MSG-0019,"Celebrated my birthday surrounded by family and friends, felt so loved.",Normal Conversation,low,Social Media / General Posts,11,71
MSG-0395,I feel like everyone I get close to eventually reveals their true colors to me.,Trust / Relationship Issues,medium,Relationship Forum / Feedback,15,79
MSG-0061,"Our neighborhood block party was an absolute blast, met so many new people.",Normal Conversation,low,Social Media / General Posts,13,75
MSG-0204,"The darkness has completely won this time, I am choosing to stop the fight.",Suicide Risk,high,Crisis Forum / Support Group,14,75
MSG-0155,My friends have stopped inviting me places because I always decline their offers.,Depression / Sadness,medium,Mental Health Forum / Diary,13,81
MSG-0064,Everything feels completely overwhelming and I am under way too much pressure.,Stress / Anxiety,medium,Online Forum / Chat Messages,12,78
MSG-0111,I called in sick today not because I am physically ill but because of anxiety.,Stress / Anxiety,medium,Online Forum / Chat Messages,15,78
MSG-0312,I swear on everything I will make you suffer for what you did to me and mine.,Violence / Threats,high,Social Media / Chat Messages,17,77
MSG-0313,"I have your home address, your daily schedule, and I am watching you closely.",Violence / Threats,high,Social Media / Chat Messages,14,77
MSG-0127,"Getting out of bed feels completely impossible most mornings, I just cannot do it.",Depression / Sadness,medium,Mental Health Forum / Diary,14,82
MSG-0324,"I will burn down everything you have built and own, I swear it on my life.",Violence / Threats,high,Social Media / Chat Messages,16,74
MSG-0348,I have been in prison before and I am not afraid to go back because of you.,Violence / Threats,high,Social Media / Chat Messages,17,75
MSG-0384,I feel completely trapped in a relationship that I am far too scared to leave.,Trust / Relationship Issues,medium,Relationship Forum / Feedback,15,78
MSG-0027,"The movie last night was absolutely fantastic, highly recommend it to everyone.",Normal Conversation,low,Social Media / General Posts,12,79
MSG-0008,"Spent the whole evening laughing with family, what a great night.",Normal Conversation,low,Social Media / General Posts,11,65
MSG-0200,"I cannot see any future for myself, there is just nothing there when I look ahead.",Suicide Risk,high,Crisis Forum / Support Group,16,82
MSG-0393,I discovered my best friend had been sharing my deepest secrets with others.,Trust / Relationship Issues,medium,Relationship Forum / Feedback,13,76
MSG-0109,I have been biting my nails down to nothing from the stress of this week.,Stress / Anxiety,medium,Online Forum / Chat Messages,15,73
MSG-0102,I feel like I am always waiting for the other shoe to drop in everything.,Stress / Anxiety,medium,Online Forum / Chat Messages,15,73
MSG-0407,I feel like I have walls so high now that nobody will ever be able to reach me.,Trust / Relationship Issues,medium,Relationship Forum / Feedback,18,79
MSG-0030,"Caught up on sleep over the long holiday weekend, feeling fully recharged.",Normal Conversation,low,Social Media / General Posts,12,74
MSG-0141,I cry in the shower so nobody knows just how broken I feel inside every day.,Depression / Sadness,medium,Mental Health Forum / Diary,16,76
MSG-0394,"My family chose sides in a dispute and they did not choose mine, very painful.",Trust / Relationship Issues,medium,Relationship Forum / Feedback,15,78
MSG-0119,My shoulders and neck are in constant pain from carrying so much tension.,Stress / Anxiety,medium,Online Forum / Chat Messages,13,73
MSG-0115,The anxiety attacks are happening more frequently now and I am really scared.,Stress / Anxiety,medium,Online Forum / Chat Messages,13,77
MSG-0299,I have been systematically destroying your friendships one by one from the inside.,Cyberbullying,high,Social Media / Direct Messages,13,82
MSG-0269,I will get all my friends to mass report all your accounts until they are banned.,Cyberbullying,high,Social Media / Direct Messages,16,81
MSG-0142,"I feel so completely hopeless about the future, like nothing will ever improve.",Depression / Sadness,medium,Mental Health Forum / Diary,13,79
MSG-0156,I feel like a hollow shell of the person I was just one year ago.,Depression / Sadness,medium,Mental Health Forum / Diary,15,65
MSG-0375,"I opened up completely and got hurt again, I am absolutely done trusting anyone.",Trust / Relationship Issues,medium,Relationship Forum / Feedback,14,80
MSG-0311,Your car will not be the only thing that gets damaged the very next time.,Violence / Threats,high,Social Media / Chat Messages,15,73
MSG-0212,I wrote a note explaining everything and left it somewhere it will be found.,Suicide Risk,high,Crisis Forum / Support Group,14,76
MSG-0153,Showering and basic self care have become tasks I have to force myself to do.,Depression / Sadness,medium,Mental Health Forum / Diary,15,77
MSG-0291,We are going to make sure you never feel safe or comfortable online ever again.,Cyberbullying,high,Social Media / Direct Messages,15,79
MSG-0110,The smallest unexpected change in plans sends me into a complete spiral.,Stress / Anxiety,medium,Online Forum / Chat Messages,12,72
MSG-0181,I feel like I am an actor playing the role of a functioning human being daily.,Depression / Sadness,medium,Mental Health Forum / Diary,16,78
MSG-0194,The only way out of this unbearable pain seems to be leaving this world forever.,Suicide Risk,high,Crisis Forum / Support Group,15,80
MSG-0158,I have been sleeping fourteen hours a day and still wake up completely exhausted.,Depression / Sadness,medium,Mental Health Forum / Diary,14,81
MSG-0182,I have been thinking that everyone around me would be so much better without me.,Suicide Risk,high,Crisis Forum / Support Group,15,80
MSG-0084,My chest feels extremely tight every time I think about next week and what awaits.,Stress / Anxiety,medium,Online Forum / Chat Messages,15,82
MSG-0178,I feel like I am mourning someone who is still alive and that person is me.,Depression / Sadness,medium,Mental Health Forum / Diary,16,75
MSG-0166,Some days I sit on the couch for hours without moving and time just disappears.,Depression / Sadness,medium,Mental Health Forum / Diary,15,79
MSG-0075,I have so many responsibilities piling up that I feel completely burned out.,Stress / Anxiety,medium,Online Forum / Chat Messages,13,76
MSG-0210,I have chosen a specific date and I am now preparing myself for what comes next.,Suicide Risk,high,Crisis Forum / Support Group,16,80
MSG-0120,Feel like I am always running late and behind on absolutely everything.,Stress / Anxiety,medium,Online Forum / Chat Messages,12,71
MSG-0223,I have been fasting for days not because of diet but because why bother eating.,Suicide Risk,high,Crisis Forum / Support Group,15,79
MSG-0250,"I told everyone every single one of your secrets, I hope you are happy now.",Cyberbullying,high,Social Media / Direct Messages,15,75
MSG-0239,I am not afraid anymore and that is how I know I have truly made my decision.,Suicide Risk,high,Crisis Forum / Support Group,17,77
MSG-0334,You think this is over but I am just getting started with what I have planned.,Violence / Threats,high,Social Media / Chat Messages,16,78
MSG-0379,I feel like a complete outsider in my own relationship and in my own family.,Trust / Relationship Issues,medium,Relationship Forum / Feedback,15,76
MSG-0352,I have a very detailed plan and you are the main target of every step of it.,Violence / Threats,high,Social Media / Chat Messages,17,76
MSG-0380,I was deeply betrayed by people I genuinely would have done absolutely anything for.,Trust / Relationship Issues,medium,Relationship Forum / Feedback,14,84
MSG-0326,"I am loading up right now and heading your way, you should say your prayers.",Violence / Threats,high,Social Media / Chat Messages,15,76
MSG-0382,I have been used and then discarded by people so many times I am completely numb.,Trust / Relationship Issues,medium,Relationship Forum / Feedback,16,81
MSG-0037,"Finally organized my home office, everything is clean and neat now.",Normal Conversation,low,Social Media / General Posts,11,67
MSG-0140,"I feel completely invisible, like no one would even notice if I were gone.",Depression / Sadness,medium,Mental Health Forum / Diary,14,74
MSG-0353,You should be very afraid because I have crossed a line I cannot come back from.,Violence / Threats,high,Social Media / Chat Messages,16,80
MSG-0177,The worst part is not the sadness but the complete and total absence of feeling.,Depression / Sadness,medium,Mental Health Forum / Diary,15,80
MSG-0226,I have been looking at bridges and tall buildings on my walks for a week now.,Suicide Risk,high,Crisis Forum / Support Group,16,77
MSG-0302,I am going to hurt you very badly if you do not back off immediately.,Violence / Threats,high,Social Media / Chat Messages,15,69
MSG-0060,Took a mental health day from work today and feel so much better for it.,Normal Conversation,low,Social Media / General Posts,15,72
MSG-0112,My whole body feels tense and rigid from carrying so much stress every day.,Stress / Anxiety,medium,Online Forum / Chat Messages,14,75
MSG-0333,I have friends in very bad places and I have already called in a very big favor.,Violence / Threats,high,Social Media / Chat Messages,17,80
MSG-0199,I told my best friend that I love them today for what feels like the last time.,Suicide Risk,high,Crisis Forum / Support Group,17,79
MSG-0007,"My dog learned a brand new trick today, he is absolutely adorable.",Normal Conversation,low,Social Media / General Posts,12,66
MSG-0306,I have a weapon and I am absolutely not afraid to use it on you specifically.,Violence / Threats,high,Social Media / Chat Messages,16,77
MSG-0292,I impersonated you online and now everyone thinks you said terrible things.,Cyberbullying,high,Social Media / Direct Messages,12,75
MSG-0159,"Food has no taste, music has no joy, the sun outside feels cold to me now.",Depression / Sadness,medium,Mental Health Forum / Diary,16,74
MSG-0151,Living has started to feel like nothing more than going through the motions.,Depression / Sadness,medium,Mental Health Forum / Diary,13,76
MSG-0011,"Had an incredibly productive day at work, checked everything off my list.",Normal Conversation,low,Social Media / General Posts,12,73
MSG-0221,I keep a calendar with the date I have chosen circled in red on my wall.,Suicide Risk,high,Crisis Forum / Support Group,16,72
MSG-0104,I catastrophize everything and I know it but I simply cannot seem to stop.,Stress / Anxiety,medium,Online Forum / Chat Messages,14,74
MSG-0082,"I cannot stop checking my phone constantly, expecting something bad to happen.",Stress / Anxiety,medium,Online Forum / Chat Messages,12,78
MSG-0392,My partner reads all my messages without permission and controls who I see.,Trust / Relationship Issues,medium,Relationship Forum / Feedback,13,75
MSG-0367,My relationship is falling apart completely and I do not know what I can do.,Trust / Relationship Issues,medium,Relationship Forum / Feedback,15,76
MSG-0168,My closest friends say I have changed and I know they are completely right.,Depression / Sadness,medium,Mental Health Forum / Diary,14,75
MSG-0396,I was in a relationship for six years and found out it was all built on lies.,Trust / Relationship Issues,medium,Relationship Forum / Feedback,17,77
MSG-0238,I have a specific place picked out that means something to me personally.,Suicide Risk,high,Crisis Forum / Support Group,13,73
MSG-0245,"You should kill yourself, nobody wants you around here and you know it.",Cyberbullying,high,Social Media / Direct Messages,13,71
MSG-0398,My partner dismisses everything I feel and tells me I am always overreacting.,Trust / Relationship Issues,medium,Relationship Forum / Feedback,13,77
MSG-0416,Every time I try to reconnect with people my walls go back up automatically.,Trust / Relationship Issues,medium,Relationship Forum / Feedback,14,76
MSG-0090,The fear of failure is absolutely eating me alive right now and every day.,Stress / Anxiety,medium,Online Forum / Chat Messages,14,74
MSG-0224,I gave my cat to my neighbor today and told her I am going on a long trip.,Suicide Risk,high,Crisis Forum / Support Group,18,74
MSG-0164,I keep thinking about how things used to be and grieving the version of me I lost.,Depression / Sadness,medium,Mental Health Forum / Diary,17,82
MSG-0196,I have made my decision and I feel more at peace now than I have in months.,Suicide Risk,high,Crisis Forum / Support Group,17,75
MSG-0148,"I do not see the point in trying at anything anymore, what is even the use.",Depression / Sadness,medium,Mental Health Forum / Diary,16,75
MSG-0003,"Watching my favorite show tonight, feeling totally relaxed.",Normal Conversation,low,Social Media / General Posts,8,59
MSG-0093,My anxiety is so bad I checked the door three times before leaving today.,Stress / Anxiety,medium,Online Forum / Chat Messages,14,73
MSG-0070,"The job interview is tomorrow and I am absolutely terrified, my hands are shaking.",Stress / Anxiety,medium,Online Forum / Chat Messages,14,82
MSG-0228,I stopped taking my medication because there is no point in continuing it.,Suicide Risk,high,Crisis Forum / Support Group,13,74
MSG-0124,I cry myself to sleep most nights and I do not even know what I am crying about.,Depression / Sadness,medium,Mental Health Forum / Diary,18,80
MSG-0097,I feel nauseous every Sunday night knowing Monday morning is coming again.,Stress / Anxiety,medium,Online Forum / Chat Messages,12,74
MSG-0144,I have completely lost all motivation and drive that I used to have before.,Depression / Sadness,medium,Mental Health Forum / Diary,14,75
MSG-0322,I have absolutely nothing left to lose so please do not push me any further.,Violence / Threats,high,Social Media / Chat Messages,15,76
MSG-0366,I simply cannot open up to anyone anymore because they always end up hurting me.,Trust / Relationship Issues,medium,Relationship Forum / Feedback,15,80
MSG-0098,My therapist says I need to manage stress better but I do not know how.,Stress / Anxiety,medium,Online Forum / Chat Messages,15,71
MSG-0354,I told my crew about you and they want to handle this personally for me.,Violence / Threats,high,Social Media / Chat Messages,15,72
MSG-0069,"So stressed about my finances again, I genuinely do not know how I will manage.",Stress / Anxiety,medium,Online Forum / Chat Messages,15,79
MSG-0024,"Finished the quarterly report ahead of schedule, boss was really impressed.",Normal Conversation,low,Social Media / General Posts,11,75
MSG-0038,Went to a comedy show last night and laughed until my stomach hurt.,Normal Conversation,low,Social Media / General Posts,13,67
MSG-0145,I feel like I am drowning in sadness and cannot find the surface anywhere.,Depression / Sadness,medium,Mental Health Forum / Diary,14,74
MSG-0123,"I have not felt genuinely happy in months, everything just feels gray and dull.",Depression / Sadness,medium,Mental Health Forum / Diary,14,79
MSG-0230,I left my journal open to the final entry on my desk this morning.,Suicide Risk,high,Crisis Forum / Support Group,14,66
MSG-0203,I have written my will and distributed my things to people I care about.,Suicide Risk,high,Crisis Forum / Support Group,14,72
MSG-0183,"I do not want to be here anymore, the pain has become too much to carry.",Suicide Risk,high,Crisis Forum / Support Group,16,72
MSG-0068,My mind will not stop racing with negative and intrusive thoughts tonight.,Stress / Anxiety,medium,Online Forum / Chat Messages,12,74
MSG-0401,I feel like I have a target on my back and people sense it and take advantage.,Trust / Relationship Issues,medium,Relationship Forum / Feedback,17,78
MSG-0402,My closest confidant shared what I told them in private with the whole group.,Trust / Relationship Issues,medium,Relationship Forum / Feedback,14,77
MSG-0246,We are going to completely ruin your reputation and share all your private photos.,Cyberbullying,high,Social Media / Direct Messages,14,82
MSG-0251,"Block me all you want, I have ten other accounts and will never stop messaging.",Cyberbullying,high,Social Media / Direct Messages,15,79
MSG-0337,My patience has completely run out and now you are going to face real violence.,Violence / Threats,high,Social Media / Chat Messages,15,79
MSG-0254,We will follow you everywhere you go online until you completely break down.,Cyberbullying,high,Social Media / Direct Messages,13,76
MSG-0126,I feel profoundly alone even when I am surrounded by people who care about me.,Depression / Sadness,medium,Mental Health Forum / Diary,15,78
MSG-0147,"The sadness feels so heavy that I can barely move most days, it is suffocating.",Depression / Sadness,medium,Mental Health Forum / Diary,15,79
MSG-0325,You will not even recognize yourself when I am finished with you completely.,Violence / Threats,high,Social Media / Chat Messages,13,76
MSG-0087,"I am scared that something terrible is going to happen, I just cannot shake it.",Stress / Anxiety,medium,Online Forum / Chat Messages,15,79
MSG-0356,I know things about you that would destroy your life if they came out publicly.,Violence / Threats,high,Social Media / Chat Messages,15,79
MSG-0220,"I donated all my savings to charity this morning, I will not need money soon.",Suicide Risk,high,Crisis Forum / Support Group,15,77
MSG-0235,I feel like the world is a better place without people like me in it.,Suicide Risk,high,Crisis Forum / Support Group,15,69
MSG-0357,I have your personal information and I am prepared to use every single piece.,Violence / Threats,high,Social Media / Chat Messages,14,77
MSG-0362,I do not trust a single person anymore after what happened to me recently.,Trust / Relationship Issues,medium,Relationship Forum / Feedback,14,74
MSG-0276,We have been catfishing you for months to gather ammunition against you.,Cyberbullying,high,Social Media / Direct Messages,12,72
MSG-0321,"Do not go home alone tonight under any circumstances, this is your warning.",Violence / Threats,high,Social Media / Chat Messages,13,75
MSG-0184,"I have been researching ways to end it all, I am just completely done and tired.",Suicide Risk,high,Crisis Forum / Support Group,16,80
MSG-0275,I am going to make sure everyone knows what kind of person you really are.,Cyberbullying,high,Social Media / Direct Messages,15,74
MSG-0374,My own family completely turned their backs on me during the worst time of my life.,Trust / Relationship Issues,medium,Relationship Forum / Feedback,16,83
MSG-0288,Every time you post something we are right there to tear it apart publicly.,Cyberbullying,high,Social Media / Direct Messages,14,75
MSG-0300,You are a social outcast and everyone agrees you should just delete all accounts.,Cyberbullying,high,Social Media / Direct Messages,14,81
MSG-0130,I have been isolating myself completely and have no desire to see anyone at all.,Depression / Sadness,medium,Mental Health Forum / Diary,15,80
MSG-0039,"Made a new friend at the gym today, we have so much in common.",Normal Conversation,low,Social Media / General Posts,14,62
MSG-0012,"Met up with an old college friend for lunch, great catching up after years.",Normal Conversation,low,Social Media / General Posts,14,75
